Waveform Data,,Waveform Data,
-2.51E-06,-20.32,-2.51E-06,4
-2.51E-06,-20.32,-2.51E-06,4
-2.51E-06,-20.24,-2.51E-06,4
-2.51E-06,-20.32,-2.51E-06,4
-2.51E-06,-20.24,-2.51E-06,4
-2.51E-06,-20.32,-2.51E-06,4
-2.50E-06,-20.24,-2.50E-06,4
-2.50E-06,-20.32,-2.50E-06,4
-2.50E-06,-20.24,-2.50E-06,4
-2.50E-06,-20.32,-2.50E-06,4
-2.50E-06,-20.24,-2.50E-06,4
-2.50E-06,-20.24,-2.50E-06,4
-2.50E-06,-20.24,-2.50E-06,4
-2.50E-06,-20.24,-2.50E-06,4
-2.50E-06,-20.32,-2.50E-06,4
-2.50E-06,-20.24,-2.50E-06,4
-2.49E-06,-20.32,-2.49E-06,4
-2.49E-06,-20.24,-2.49E-06,4
-2.49E-06,-20.32,-2.49E-06,4
-2.49E-06,-20.24,-2.49E-06,4
-2.49E-06,-20.32,-2.49E-06,4
-2.49E-06,-20.24,-2.49E-06,4
-2.49E-06,-20.24,-2.49E-06,4
-2.49E-06,-20.24,-2.49E-06,4
-2.49E-06,-20.24,-2.49E-06,4
-2.49E-06,-20.32,-2.49E-06,4
-2.48E-06,-20.32,-2.48E-06,4
-2.48E-06,-20.24,-2.48E-06,4
-2.48E-06,-20.24,-2.48E-06,4
-2.48E-06,-20.24,-2.48E-06,4
-2.48E-06,-20.24,-2.48E-06,4
-2.48E-06,-20.24,-2.48E-06,4
-2.48E-06,-20.24,-2.48E-06,4
-2.48E-06,-20.24,-2.48E-06,4
-2.48E-06,-20.24,-2.48E-06,4
-2.48E-06,-20.24,-2.48E-06,4
-2.47E-06,-20.32,-2.47E-06,4
-2.47E-06,-20.32,-2.47E-06,4
-2.47E-06,-20.32,-2.47E-06,4
-2.47E-06,-20.32,-2.47E-06,4
-2.47E-06,-20.32,-2.47E-06,4
-2.47E-06,-20.32,-2.47E-06,4
-2.47E-06,-20.32,-2.47E-06,4
-2.47E-06,-20.32,-2.47E-06,4
-2.47E-06,-20.24,-2.47E-06,4
-2.47E-06,-20.24,-2.47E-06,4
-2.46E-06,-20.32,-2.46E-06,4
-2.46E-06,-20.32,-2.46E-06,4
-2.46E-06,-20.32,-2.46E-06,4
-2.46E-06,-20.32,-2.46E-06,4
-2.46E-06,-20.32,-2.46E-06,4
-2.46E-06,-20.24,-2.46E-06,4
-2.46E-06,-20.32,-2.46E-06,4
-2.46E-06,-20.24,-2.46E-06,4
-2.46E-06,-20.24,-2.46E-06,4
-2.46E-06,-20.32,-2.46E-06,4
-2.45E-06,-20.24,-2.45E-06,4
-2.45E-06,-20.32,-2.45E-06,4
-2.45E-06,-20.24,-2.45E-06,4
-2.45E-06,-20.24,-2.45E-06,4
-2.45E-06,-20.24,-2.45E-06,4
-2.45E-06,-20.24,-2.45E-06,4
-2.45E-06,-20.24,-2.45E-06,4
-2.45E-06,-20.32,-2.45E-06,4
-2.45E-06,-20.24,-2.45E-06,4
-2.45E-06,-20.32,-2.45E-06,4
-2.44E-06,-20.24,-2.44E-06,4
-2.44E-06,-20.32,-2.44E-06,4
-2.44E-06,-20.32,-2.44E-06,4
-2.44E-06,-20.32,-2.44E-06,4
-2.44E-06,-20.24,-2.44E-06,4
-2.44E-06,-20.24,-2.44E-06,4
-2.44E-06,-20.24,-2.44E-06,4
-2.44E-06,-20.24,-2.44E-06,4
-2.44E-06,-20.24,-2.44E-06,4
-2.44E-06,-20.24,-2.44E-06,4
-2.43E-06,-20.24,-2.43E-06,4
-2.43E-06,-20.24,-2.43E-06,4
-2.43E-06,-20.32,-2.43E-06,4
-2.43E-06,-20.32,-2.43E-06,4
-2.43E-06,-20.24,-2.43E-06,4
-2.43E-06,-20.32,-2.43E-06,4
-2.43E-06,-20.24,-2.43E-06,4
-2.43E-06,-20.24,-2.43E-06,4
-2.43E-06,-20.24,-2.43E-06,4
-2.43E-06,-20.24,-2.43E-06,4
-2.42E-06,-20.24,-2.42E-06,4
-2.42E-06,-20.24,-2.42E-06,4
-2.42E-06,-20.24,-2.42E-06,4
-2.42E-06,-20.24,-2.42E-06,4
-2.42E-06,-20.32,-2.42E-06,4
-2.42E-06,-20.24,-2.42E-06,4
-2.42E-06,-20.24,-2.42E-06,4
-2.42E-06,-20.24,-2.42E-06,4
-2.42E-06,-20.24,-2.42E-06,4
-2.42E-06,-20.24,-2.42E-06,4
-2.41E-06,-20.24,-2.41E-06,4
-2.41E-06,-20.32,-2.41E-06,4
-2.41E-06,-20.32,-2.41E-06,4
-2.41E-06,-20.32,-2.41E-06,4
-2.41E-06,-20.32,-2.41E-06,4
-2.41E-06,-20.24,-2.41E-06,4
-2.41E-06,-20.32,-2.41E-06,4
-2.41E-06,-20.24,-2.41E-06,4
-2.41E-06,-20.32,-2.41E-06,4
-2.41E-06,-20.32,-2.41E-06,4
-2.40E-06,-20.24,-2.40E-06,4
-2.40E-06,-20.32,-2.40E-06,4
-2.40E-06,-20.24,-2.40E-06,4
-2.40E-06,-20.24,-2.40E-06,4
-2.40E-06,-20.24,-2.40E-06,4
-2.40E-06,-20.24,-2.40E-06,4
-2.40E-06,-20.24,-2.40E-06,4
-2.40E-06,-20.24,-2.40E-06,4
-2.40E-06,-20.32,-2.40E-06,4
-2.40E-06,-20.24,-2.40E-06,4
-2.39E-06,-20.32,-2.39E-06,4
-2.39E-06,-20.24,-2.39E-06,4
-2.39E-06,-20.32,-2.39E-06,4
-2.39E-06,-20.32,-2.39E-06,4
-2.39E-06,-20.32,-2.39E-06,4
-2.39E-06,-20.24,-2.39E-06,4
-2.39E-06,-20.32,-2.39E-06,4
-2.39E-06,-20.32,-2.39E-06,4
-2.39E-06,-20.24,-2.39E-06,4
-2.39E-06,-20.32,-2.39E-06,4
-2.38E-06,-20.32,-2.38E-06,4
-2.38E-06,-20.24,-2.38E-06,4
-2.38E-06,-20.32,-2.38E-06,4
-2.38E-06,-20.32,-2.38E-06,4
-2.38E-06,-20.32,-2.38E-06,4
-2.38E-06,-20.32,-2.38E-06,4
-2.38E-06,-20.32,-2.38E-06,4
-2.38E-06,-20.32,-2.38E-06,4
-2.38E-06,-20.24,-2.38E-06,4
-2.38E-06,-20.32,-2.38E-06,4
-2.37E-06,-20.24,-2.37E-06,4
-2.37E-06,-20.32,-2.37E-06,4
-2.37E-06,-20.24,-2.37E-06,4
-2.37E-06,-20.32,-2.37E-06,4
-2.37E-06,-20.24,-2.37E-06,4
-2.37E-06,-20.24,-2.37E-06,4
-2.37E-06,-20.32,-2.37E-06,4
-2.37E-06,-20.32,-2.37E-06,4
-2.37E-06,-20.32,-2.37E-06,4
-2.37E-06,-20.32,-2.37E-06,4
-2.36E-06,-20.32,-2.36E-06,4
-2.36E-06,-20.32,-2.36E-06,4
-2.36E-06,-20.24,-2.36E-06,4
-2.36E-06,-20.32,-2.36E-06,4
-2.36E-06,-20.24,-2.36E-06,4
-2.36E-06,-20.32,-2.36E-06,4
-2.36E-06,-20.32,-2.36E-06,4
-2.36E-06,-20.32,-2.36E-06,4
-2.36E-06,-20.32,-2.36E-06,4
-2.36E-06,-20.32,-2.36E-06,4
-2.35E-06,-20.32,-2.35E-06,4
-2.35E-06,-20.32,-2.35E-06,4
-2.35E-06,-20.32,-2.35E-06,4
-2.35E-06,-20.32,-2.35E-06,4
-2.35E-06,-20.32,-2.35E-06,4
-2.35E-06,-20.32,-2.35E-06,4
-2.35E-06,-20.32,-2.35E-06,4
-2.35E-06,-20.32,-2.35E-06,4
-2.35E-06,-20.32,-2.35E-06,4
-2.35E-06,-20.32,-2.35E-06,4
-2.34E-06,-20.32,-2.34E-06,4
-2.34E-06,-20.24,-2.34E-06,4
-2.34E-06,-20.32,-2.34E-06,4
-2.34E-06,-20.24,-2.34E-06,4
-2.34E-06,-20.24,-2.34E-06,4
-2.34E-06,-20.24,-2.34E-06,4
-2.34E-06,-20.24,-2.34E-06,4
-2.34E-06,-20.24,-2.34E-06,4
-2.34E-06,-20.32,-2.34E-06,4
-2.34E-06,-20.24,-2.34E-06,4
-2.33E-06,-20.24,-2.33E-06,4
-2.33E-06,-20.24,-2.33E-06,4
-2.33E-06,-20.24,-2.33E-06,4
-2.33E-06,-20.24,-2.33E-06,4
-2.33E-06,-20.24,-2.33E-06,4
-2.33E-06,-20.24,-2.33E-06,4
-2.33E-06,-20.32,-2.33E-06,4
-2.33E-06,-20.24,-2.33E-06,4
-2.33E-06,-20.32,-2.33E-06,4
-2.33E-06,-20.32,-2.33E-06,4
-2.32E-06,-20.32,-2.32E-06,4
-2.32E-06,-20.32,-2.32E-06,4
-2.32E-06,-20.32,-2.32E-06,4
-2.32E-06,-20.32,-2.32E-06,4
-2.32E-06,-20.32,-2.32E-06,4
-2.32E-06,-20.24,-2.32E-06,4
-2.32E-06,-20.24,-2.32E-06,4
-2.32E-06,-20.24,-2.32E-06,4
-2.32E-06,-20.24,-2.32E-06,4
-2.32E-06,-20.32,-2.32E-06,4
-2.31E-06,-20.24,-2.31E-06,4
-2.31E-06,-20.32,-2.31E-06,4
-2.31E-06,-20.32,-2.31E-06,4
-2.31E-06,-20.24,-2.31E-06,4
-2.31E-06,-20.32,-2.31E-06,4
-2.31E-06,-20.32,-2.31E-06,4
-2.31E-06,-20.32,-2.31E-06,4
-2.31E-06,-20.24,-2.31E-06,4
-2.31E-06,-20.24,-2.31E-06,4
-2.31E-06,-20.32,-2.31E-06,4
-2.30E-06,-20.32,-2.30E-06,4
-2.30E-06,-20.32,-2.30E-06,4
-2.30E-06,-20.32,-2.30E-06,4
-2.30E-06,-20.24,-2.30E-06,4
-2.30E-06,-20.32,-2.30E-06,4
-2.30E-06,-20.24,-2.30E-06,4
-2.30E-06,-20.32,-2.30E-06,4
-2.30E-06,-20.32,-2.30E-06,4
-2.30E-06,-20.32,-2.30E-06,4
-2.30E-06,-20.32,-2.30E-06,4
-2.29E-06,-20.24,-2.29E-06,4
-2.29E-06,-20.32,-2.29E-06,0
-2.29E-06,-20.24,-2.29E-06,4
-2.29E-06,-20.32,-2.29E-06,4
-2.29E-06,-20.24,-2.29E-06,4
-2.29E-06,-20.32,-2.29E-06,4
-2.29E-06,-20.32,-2.29E-06,4
-2.29E-06,-20.32,-2.29E-06,4
-2.29E-06,-20.32,-2.29E-06,4
-2.29E-06,-20.32,-2.29E-06,4
-2.28E-06,-20.32,-2.28E-06,4
-2.28E-06,-20.32,-2.28E-06,4
