Waveform Data,,Waveform Data,
-2.41E-06,0.72,-2.41E-06,4
-2.41E-06,0.72,-2.41E-06,4
-2.41E-06,0.72,-2.41E-06,4
-2.41E-06,0.72,-2.41E-06,4
-2.41E-06,0.72,-2.41E-06,4
-2.41E-06,0.72,-2.41E-06,4
-2.41E-06,0.72,-2.41E-06,4
-2.40E-06,0.72,-2.40E-06,4
-2.40E-06,0.72,-2.40E-06,4
-2.40E-06,0.72,-2.40E-06,4
-2.40E-06,0.72,-2.40E-06,4
-2.40E-06,0.72,-2.40E-06,4
-2.40E-06,0.72,-2.40E-06,4
-2.40E-06,0.72,-2.40E-06,4
-2.40E-06,0.72,-2.40E-06,4
-2.40E-06,0.72,-2.40E-06,4
-2.40E-06,0.72,-2.40E-06,8
-2.39E-06,0.72,-2.39E-06,4
-2.39E-06,0.72,-2.39E-06,4
-2.39E-06,0.72,-2.39E-06,4
-2.39E-06,0.72,-2.39E-06,8
-2.39E-06,0.72,-2.39E-06,4
-2.39E-06,0.72,-2.39E-06,8
-2.39E-06,0.72,-2.39E-06,4
-2.39E-06,0.72,-2.39E-06,8
-2.39E-06,0.72,-2.39E-06,4
-2.39E-06,0.72,-2.39E-06,4
-2.38E-06,0.72,-2.38E-06,4
-2.38E-06,0.72,-2.38E-06,4
-2.38E-06,0.72,-2.38E-06,4
-2.38E-06,0.72,-2.38E-06,8
-2.38E-06,0.72,-2.38E-06,4
-2.38E-06,0.72,-2.38E-06,8
-2.38E-06,0.72,-2.38E-06,4
-2.38E-06,0.72,-2.38E-06,4
-2.38E-06,0.72,-2.38E-06,4
-2.38E-06,0.64,-2.38E-06,4
-2.37E-06,0.72,-2.37E-06,4
-2.37E-06,0.72,-2.37E-06,4
-2.37E-06,0.72,-2.37E-06,4
-2.37E-06,0.72,-2.37E-06,4
-2.37E-06,0.72,-2.37E-06,4
-2.37E-06,0.72,-2.37E-06,4
-2.37E-06,0.72,-2.37E-06,4
-2.37E-06,0.72,-2.37E-06,4
-2.37E-06,0.72,-2.37E-06,4
-2.37E-06,0.72,-2.37E-06,4
-2.36E-06,0.72,-2.36E-06,4
-2.36E-06,0.72,-2.36E-06,4
-2.36E-06,0.72,-2.36E-06,4
-2.36E-06,0.72,-2.36E-06,4
-2.36E-06,0.72,-2.36E-06,4
-2.36E-06,0.72,-2.36E-06,8
-2.36E-06,0.72,-2.36E-06,4
-2.36E-06,0.72,-2.36E-06,4
-2.36E-06,0.72,-2.36E-06,4
-2.36E-06,0.72,-2.36E-06,4
-2.35E-06,0.72,-2.35E-06,4
-2.35E-06,0.72,-2.35E-06,8
-2.35E-06,0.72,-2.35E-06,4
-2.35E-06,0.72,-2.35E-06,8
-2.35E-06,0.72,-2.35E-06,4
-2.35E-06,0.72,-2.35E-06,8
-2.35E-06,0.72,-2.35E-06,4
-2.35E-06,0.72,-2.35E-06,4
-2.35E-06,0.72,-2.35E-06,4
-2.35E-06,0.72,-2.35E-06,8
-2.34E-06,0.72,-2.34E-06,4
-2.34E-06,0.72,-2.34E-06,4
-2.34E-06,0.72,-2.34E-06,4
-2.34E-06,0.72,-2.34E-06,4
-2.34E-06,0.72,-2.34E-06,4
-2.34E-06,0.72,-2.34E-06,4
-2.34E-06,0.72,-2.34E-06,4
-2.34E-06,0.72,-2.34E-06,4
-2.34E-06,0.72,-2.34E-06,4
-2.34E-06,0.72,-2.34E-06,4
-2.33E-06,0.72,-2.33E-06,4
-2.33E-06,0.72,-2.33E-06,4
-2.33E-06,0.72,-2.33E-06,4
-2.33E-06,0.72,-2.33E-06,4
-2.33E-06,0.72,-2.33E-06,4
-2.33E-06,0.72,-2.33E-06,4
-2.33E-06,0.72,-2.33E-06,4
-2.33E-06,0.72,-2.33E-06,4
-2.33E-06,0.72,-2.33E-06,4
-2.33E-06,0.72,-2.33E-06,4
-2.32E-06,0.72,-2.32E-06,4
-2.32E-06,0.72,-2.32E-06,8
-2.32E-06,0.72,-2.32E-06,4
-2.32E-06,0.72,-2.32E-06,4
-2.32E-06,0.72,-2.32E-06,4
-2.32E-06,0.72,-2.32E-06,4
-2.32E-06,0.72,-2.32E-06,4
-2.32E-06,0.72,-2.32E-06,4
