Format,2.0A,
Memory Length,5000,Memory Length,5000,Memory Length,5000,
Trigger Level,120V,Trigger Level,120V,Trigger Level,120V,
Source,CH1,Source,CH2,Source,Math,
Label, ,Label, ,Label, ,
Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,Probe Ratio,1.000E+00,
Vertical Units,V,Vertical Units,V,Vertical Units,V,
Vertical Scale,5.000E+00,Vertical Scale,1.000E+02,Vertical Scale,1.000E+02,
Vertical Position,-1.120E+01,Vertical Position,-2.400E+02,Vertical Position,0.000E+00,
Horizontal Units,S,Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,5.000E-08,Horizontal Scale,5.000E-08,Horizontal Scale,2.000E-07,
Horizontal Position,1.305E-07,Horizontal Position,1.305E-07,Horizontal Position,0.000E+00,
Horizontal Mode,Main,Horizontal Mode,Main,Horizontal Mode,Main,
Sampling Period,1.000E-09,Sampling Period,1.000E-09,Sampling Period,1.000E-09,
Firmware,V1.21,Firmware,V1.21,Firmware,V1.21,
Time,11-Jun-22 15:12:41,Time,11-Jun-22 15:12:41,Time,11-Jun-22 15:12:41,
Mode,Detail,Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,Waveform Data,,
-2.369500e-06,1.200000,-2.369500e-06,436.000000,-2.500000e-06,-512.000000,
-2.368500e-06,1.200000,-2.368500e-06,436.000000,-2.499000e-06,-512.000000,
-2.367500e-06,1.200000,-2.367500e-06,436.000000,-2.498000e-06,-512.000000,
-2.366500e-06,1.200000,-2.366500e-06,436.000000,-2.497000e-06,-512.000000,
-2.365500e-06,1.200000,-2.365500e-06,436.000000,-2.496000e-06,-512.000000,
-2.364500e-06,1.200000,-2.364500e-06,436.000000,-2.495000e-06,-512.000000,
-2.363500e-06,1.200000,-2.363500e-06,436.000000,-2.494000e-06,-512.000000,
-2.362500e-06,1.200000,-2.362500e-06,436.000000,-2.493000e-06,-512.000000,
-2.361500e-06,1.200000,-2.361500e-06,436.000000,-2.492000e-06,-512.000000,
-2.360500e-06,1.200000,-2.360500e-06,436.000000,-2.491000e-06,-512.000000,
-2.359500e-06,1.200000,-2.359500e-06,436.000000,-2.490000e-06,-512.000000,
-2.358500e-06,1.200000,-2.358500e-06,436.000000,-2.489000e-06,-512.000000,
-2.357500e-06,1.200000,-2.357500e-06,436.000000,-2.488000e-06,-512.000000,
-2.356500e-06,1.200000,-2.356500e-06,436.000000,-2.487000e-06,-512.000000,
-2.355500e-06,1.400000,-2.355500e-06,436.000000,-2.486000e-06,-512.000000,
-2.354500e-06,1.200000,-2.354500e-06,436.000000,-2.485000e-06,-512.000000,
-2.353500e-06,1.200000,-2.353500e-06,436.000000,-2.484000e-06,-512.000000,
-2.352500e-06,1.200000,-2.352500e-06,436.000000,-2.483000e-06,-512.000000,
-2.351500e-06,1.200000,-2.351500e-06,436.000000,-2.482000e-06,-512.000000,
-2.350500e-06,1.200000,-2.350500e-06,436.000000,-2.481000e-06,-512.000000,
-2.349500e-06,1.200000,-2.349500e-06,436.000000,-2.480000e-06,-512.000000,
-2.348500e-06,1.200000,-2.348500e-06,436.000000,-2.479000e-06,-512.000000,
-2.347500e-06,1.200000,-2.347500e-06,432.000000,-2.478000e-06,-512.000000,
-2.346500e-06,1.200000,-2.346500e-06,436.000000,-2.477000e-06,-512.000000,
-2.345500e-06,1.200000,-2.345500e-06,436.000000,-2.476000e-06,-512.000000,
-2.344500e-06,1.200000,-2.344500e-06,436.000000,-2.475000e-06,-512.000000,
-2.343500e-06,1.200000,-2.343500e-06,436.000000,-2.474000e-06,-512.000000,
-2.342500e-06,1.200000,-2.342500e-06,436.000000,-2.473000e-06,-512.000000,
-2.341500e-06,1.200000,-2.341500e-06,436.000000,-2.472000e-06,-512.000000,
-2.340500e-06,1.200000,-2.340500e-06,436.000000,-2.471000e-06,-512.000000,
-2.339500e-06,1.200000,-2.339500e-06,436.000000,-2.470000e-06,-512.000000,
-2.338500e-06,1.200000,-2.338500e-06,436.000000,-2.469000e-06,-512.000000,
-2.337500e-06,1.200000,-2.337500e-06,436.000000,-2.468000e-06,-512.000000,
-2.336500e-06,1.200000,-2.336500e-06,436.000000,-2.467000e-06,-512.000000,
-2.335500e-06,1.200000,-2.335500e-06,436.000000,-2.466000e-06,-512.000000,
-2.334500e-06,1.200000,-2.334500e-06,436.000000,-2.465000e-06,-512.000000,
-2.333500e-06,1.200000,-2.333500e-06,436.000000,-2.464000e-06,-512.000000,
-2.332500e-06,1.200000,-2.332500e-06,436.000000,-2.463000e-06,-512.000000,
