  Time                 , (MAX(I(L1)))@1       , (MAX(I(L1)))@2       , (MAX(I(L1)))@3       , (MAX(I(L1)))@4       , (MAX(I(L1)))@5       , (MAX(I(L1)))@6       , (MAX(I(L1)))@7       , (MAX(I(L1)))@8       , (MAX(I(L1)))@9       , (MAX(I(L1)))@10      , (MAX(I(L1)))@11      , (MAX(I(L1)))@12      , (MAX(I(L1)))@13      , (MAX(I(L1)))@14      , (MAX(I(L1)))@15      , (MAX(I(L1)))@16      , (MAX(I(L1)))@17      , (MAX(I(L1)))@18      , (MAX(I(L1)))@19      , (MAX(I(L1)))@20      , (MAX(I(L1)))@21      
  4.000000000002e-06  ,1.000000000000e+31  ,1.000000000000e+31  ,1.000000000000e+31  ,1.000000000000e+31  ,1.000000000000e+31  ,1.000000000000e+31  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.000002002723e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.000004141855e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.000008147270e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.000016158099e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.000029346500e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.000045146969e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.000060452674e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.000082443528e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.000114091033e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.000161862060e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.000220744930e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.000307846874e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.000440537058e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.000611853845e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.000857024513e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.001000000002e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.001005863696e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.001017591085e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.001041045862e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
  4.001048382806e-06  ,7.934852814805e+01  ,7.313055665427e+01  ,6.781857018554e+01  ,6.322955931179e+01  ,5.921918803738e+01  ,5.569618675989e+01  ,5.256606143059e+01  ,4.977485848362e+01  ,4.726515230458e+01  ,4.499729634430e+01  ,4.293845668787e+01  ,4.106196064482e+01  ,3.934212749919e+01  ,3.776224087909e+01  ,3.630421732377e+01  ,3.495503283716e+01  ,3.370313227709e+01  ,3.253956650857e+01  ,3.145273239559e+01  ,3.043655276446e+01  ,2.948477078909e+01  
